taxon,sample,taxonomic_level,level,family,genus,id,latitude_dd,longitude_dd,type,base,top,age,age_range,ageBin,layer
Bembidion|bipunctatum|(L.),COUN001138|5316,species,species,CARABIDAE,Bembidion,5316,44.78361,6.288611,sequences,6022,5347,5684.5,675,6000,12
Bromius|obscurus|(L.),COUN001138|5315,species,species,CHRYSOMELIDAE,Bromius,5315,44.78361,6.288611,sequences,6287,5661,5974,626,6000,12
Coelambus|parallelogrammus|(Ahr.),COUN001573|7598,species,species,DYTISCIDAE,Coelambus,7598,41.370834,9.263333,sequences,6200,5311,5755.5,889,6000,12
Colymbetes|fuscus|(L.),COUN001573|7598,species,species,DYTISCIDAE,Colymbetes,7598,41.370834,9.263333,sequences,6200,5311,5755.5,889,6000,12
Dascillus|cervinus|(L.),COUN001138|5315,species,species,DASCILLIDAE,Dascillus,5315,44.78361,6.288611,sequences,6287,5661,5974,626,6000,12
Dryophilus|pusillus|(Gyll.),COUN000747|3483,species,species,ANOBIIDAE,Dryophilus,3483,44.057777,7.457222,sequences,5731,5491,5611,240,6000,12
Harpalus|solitaris|Dej.,COUN001138|5315,species,species,CARABIDAE,Harpalus,5315,44.78361,6.288611,sequences,6287,5661,5974,626,6000,12
Helophorus|glacialis|Villa,COUN000747|3483,species,species,HYDROPHILIDAE,Helophorus,3483,44.057777,7.457222,sequences,5731,5491,5611,240,6000,12
Helophorus|tuberculatus|Gyll.,COUN001138|5315,species,species,HYDROPHILIDAE,Helophorus,5315,44.78361,6.288611,sequences,6287,5661,5974,626,6000,12
Hyphydrus|aubei|Gangl.,COUN001573|7598,species,species,DYTISCIDAE,Hyphydrus,7598,41.370834,9.263333,sequences,6200,5311,5755.5,889,6000,12
Hypoborus|ficus|Er.,COUN001573|7598,species,species,SCOLYTIDAE,Hypoborus,7598,41.370834,9.263333,sequences,6200,5311,5755.5,889,6000,12
Lesteva|longoelytrata|(Goeze),COUN001138|5315,species,species,STAPHYLINIDAE,Lesteva,5315,44.78361,6.288611,sequences,6287,5661,5974,626,6000,12
Limnebius|truncatellus|(Thun.),COUN000747|3483,species,species,HYDRAENIDAE,Limnebius,3483,44.057777,7.457222,sequences,5731,5491,5611,240,6000,12
Limnebius|truncatellus|(Thun.),COUN001138|5315,species,species,HYDRAENIDAE,Limnebius,5315,44.78361,6.288611,sequences,6287,5661,5974,626,6000,12
Limnebius|truncatellus|(Thun.),COUN001138|5316,species,species,HYDRAENIDAE,Limnebius,5316,44.78361,6.288611,sequences,6022,5347,5684.5,675,6000,12
Limnoxenus|niger|(Zsch.),COUN001573|7598,species,species,HYDROPHILIDAE,Limnoxenus,7598,41.370834,9.263333,sequences,6200,5311,5755.5,889,6000,12
Micropeplus|tesserula|Curtis,COUN000747|3483,species,species,STAPHYLINIDAE,Micropeplus,3483,44.057777,7.457222,sequences,5731,5491,5611,240,6000,12
Oreina|cacaliae|(Schrank),COUN001138|5316,species,species,CHRYSOMELIDAE,Oreina,5316,44.78361,6.288611,sequences,6022,5347,5684.5,675,6000,12
Otiorhynchus|nubilus|Bohe.,COUN001138|5316,species,species,CURCULIONIDAE,Otiorhynchus,5316,44.78361,6.288611,sequences,6022,5347,5684.5,675,6000,12
Otiorhynchus|varius|Bohe.,COUN001138|5316,species,species,CURCULIONIDAE,Otiorhynchus,5316,44.78361,6.288611,sequences,6022,5347,5684.5,675,6000,12
Phytobius|leucogaster|(Marsham),COUN001573|7598,species,species,CURCULIONIDAE,Phytobius,7598,41.37083,9.263333,sequences,6200,5311,5755.5,889,6000,12
Protapalochrus|flavolimbatus|(Muls. & Rey),COUN001573|7598,species,species,MELYRIDAE,Protapalochrus,7598,41.37083,9.263333,sequences,6200,5311,5755.5,889,6000,12
Pselactus|spadix|(Hbst.),COUN001573|7598,species,species,CURCULIONIDAE,Pselactus,7598,41.37083,9.263333,sequences,6200,5311,5755.5,889,6000,12
Quedius|punctatellus|(Heer),COUN001138|5315,species,species,STAPHYLINIDAE,Quedius,5315,44.78361,6.288611,sequences,6287,5661,5974,626,6000,12
Semiadalia|rufocincta|(Muls.),COUN001138|5315,species,species,COCCINELLIDAE,Semiadalia,5315,44.78361,6.288611,sequences,6287,5661,5974,626,6000,12
Stictotarsus|griseostriatus|(Deg.),COUN000747|3483,species,species,DYTISCIDAE,Stictotarsus,3483,44.05778,7.457222,sequences,5731,5491,5611,240,6000,12
Sulcacis|fronticornis|(Panz.),COUN001573|7598,species,species,CISIDAE,Sulcacis,7598,41.37083,9.263333,sequences,6200,5311,5755.5,889,6000,12
Acidota|cruentata|Mann.,COUN000747|3484,species,species,STAPHYLINIDAE,Acidota,3484,44.057777,7.457222,sequences,6615,6337,6476,278,6500,13
Acidota|cruentata|Mann.,COUN001138|5314,species,species,STAPHYLINIDAE,Acidota,5314,44.78361,6.288611,sequences,6615,6048,6331.5,567,6500,13
Agabus|bipustulatus|(L.),COUN000747|3484,species,species,DYTISCIDAE,Agabus,3484,44.057777,7.457222,sequences,6615,6337,6476,278,6500,13
Agabus|bipustulatus|(L.),COUN001138|5314,species,species,DYTISCIDAE,Agabus,5314,44.78361,6.288611,sequences,6615,6048,6331.5,567,6500,13
Amphichroum|hirtellum|(Heer),COUN001138|5314,species,species,STAPHYLINIDAE,Amphichroum,5314,44.78361,6.288611,sequences,6615,6048,6331.5,567,6500,13
Anthophagus|alpestris|Heer,COUN001138|5314,species,species,STAPHYLINIDAE,Anthophagus,5314,44.78361,6.288611,sequences,6615,6048,6331.5,567,6500,13
Anthophagus|bicornis|(Block),COUN001138|5314,species,species,STAPHYLINIDAE,Anthophagus,5314,44.78361,6.288611,sequences,6615,6048,6331.5,567,6500,13
Aphodius|abdominalis|Bonelli,COUN000747|3484,species,species,SCARABAEIDAE,Aphodius,3484,44.057777,7.457222,sequences,6615,6337,6476,278,6500,13
Aphodius|abdominalis|Bonelli,COUN001138|5314,species,species,SCARABAEIDAE,Aphodius,5314,44.78361,6.288611,sequences,6615,6048,6331.5,567,6500,13
Dryophilus|pusillus|(Gyll.),COUN000747|3484,species,species,ANOBIIDAE,Dryophilus,3484,44.057777,7.457222,sequences,6615,6337,6476,278,6500,13
Helophorus|glacialis|Villa,COUN000747|3484,species,species,HYDROPHILIDAE,Helophorus,3484,44.057777,7.457222,sequences,6615,6337,6476,278,6500,13
Helophorus|glacialis|Villa,COUN001138|5314,species,species,HYDROPHILIDAE,Helophorus,5314,44.78361,6.288611,sequences,6615,6048,6331.5,567,6500,13
Lesteva|longoelytrata|(Goeze),COUN001138|5314,species,species,STAPHYLINIDAE,Lesteva,5314,44.78361,6.288611,sequences,6615,6048,6331.5,567,6500,13
Limnebius|truncatellus|(Thun.),COUN001138|5314,species,species,HYDRAENIDAE,Limnebius,5314,44.78361,6.288611,sequences,6615,6048,6331.5,567,6500,13
Olophrum|consimile|(Gyll.),COUN000747|3484,species,species,STAPHYLINIDAE,Olophrum,3484,44.057777,7.457222,sequences,6615,6337,6476,278,6500,13
Omalium|rugatum|Muls. & Rey,COUN000747|3484,species,species,STAPHYLINIDAE,Omalium,3484,44.05778,7.457222,sequences,6615,6337,6476,278,6500,13
Oreina|speciosa|L.,COUN001138|5314,species,species,CHRYSOMELIDAE,Oreina,5314,44.78361,6.288611,sequences,6615,6048,6331.5,567,6500,13
Phloeostichus|denticollis|Redt.,COUN001138|5314,species,species,CUCUJIDAE,Phloeostichus,5314,44.78361,6.288611,sequences,6615,6048,6331.5,567,6500,13
Pterostichus|diligens|(Sturm),COUN001138|5314,species,species,CARABIDAE,Pterostichus,5314,44.78361,6.288611,sequences,6615,6048,6331.5,567,6500,13
Stictotarsus|griseostriatus|(Deg.),COUN000747|3484,species,species,DYTISCIDAE,Stictotarsus,3484,44.05778,7.457222,sequences,6615,6337,6476,278,6500,13
Acidota|cruentata|Mann.,COUN001138|5313,species,species,STAPHYLINIDAE,Acidota,5313,44.78361,6.288611,sequences,6947,6440,6693.5,507,7000,14
Agabus|bipustulatus|(L.),COUN000747|3485,species,species,DYTISCIDAE,Agabus,3485,44.057777,7.457222,sequences,6772,6513,6642.5,259,7000,14
Agabus|bipustulatus|(L.),COUN000747|3487,species,species,DYTISCIDAE,Agabus,3487,44.057777,7.457222,sequences,7094,6867,6980.5,227,7000,14
Agabus|bipustulatus|(L.),COUN001573|7597,species,species,DYTISCIDAE,Agabus,7597,41.370834,9.263333,sequences,6993,6200,6596.5,793,7000,14
Amphichroum|hirtellum|(Heer),COUN001138|5313,species,species,STAPHYLINIDAE,Amphichroum,5313,44.78361,6.288611,sequences,6947,6440,6693.5,507,7000,14
Anotylus|tetracarinatus|Block,COUN000747|3486,species,species,STAPHYLINIDAE,Anotylus,3486,44.057777,7.457222,sequences,6931,6692,6811.5,239,7000,14
Aphanommata|filum|(Muls. & Rey),COUN001573|7597,species,species,CURCULIONIDAE,Aphanommata,7597,41.370834,9.263333,sequences,6993,6200,6596.5,793,7000,14
Aphodius|abdominalis|Bonelli,COUN000747|3486,species,species,SCARABAEIDAE,Aphodius,3486,44.057777,7.457222,sequences,6931,6692,6811.5,239,7000,14
Aphodius|abdominalis|Bonelli,COUN000747|3487,species,species,SCARABAEIDAE,Aphodius,3487,44.057777,7.457222,sequences,7094,6867,6980.5,227,7000,14
Aphodius|abdominalis|Bonelli,COUN001138|5313,species,species,SCARABAEIDAE,Aphodius,5313,44.78361,6.288611,sequences,6947,6440,6693.5,507,7000,14
Bembidion|bipunctatum|(L.),COUN000747|3486,species,species,CARABIDAE,Bembidion,3486,44.057777,7.457222,sequences,6931,6692,6811.5,239,7000,14
Bembidion|bipunctatum|(L.),COUN001138|5313,species,species,CARABIDAE,Bembidion,5313,44.78361,6.288611,sequences,6947,6440,6693.5,507,7000,14
Bembidion|octomaculatum|(Goeze),COUN001573|7597,species,species,CARABIDAE,Bembidion,7597,41.370834,9.263333,sequences,6993,6200,6596.5,793,7000,14
Berginus|tamarisci|Woll.,COUN001573|7597,species,species,MYCETOPHAGIDAE,Berginus,7597,41.370834,9.263333,sequences,6993,6200,6596.5,793,7000,14
Canthydrus|diophthalmus|Reiche & Saulcy,COUN001573|7597,species,species,DYTISCIDAE,Canthydrus,7597,41.370834,9.263333,sequences,6993,6200,6596.5,793,7000,14
Coelambus|parallelogrammus|(Ahr.),COUN001573|7597,species,species,DYTISCIDAE,Coelambus,7597,41.370834,9.263333,sequences,6993,6200,6596.5,793,7000,14
Colymbetes|fuscus|(L.),COUN001573|7597,species,species,DYTISCIDAE,Colymbetes,7597,41.370834,9.263333,sequences,6993,6200,6596.5,793,7000,14
Dasytes|caeruleus|(Deg.),COUN000747|3485,species,species,MELYRIDAE,Dasytes,3485,44.057777,7.457222,sequences,6772,6513,6642.5,259,7000,14
Dasytes|caeruleus|(Deg.),COUN000747|3487,species,species,MELYRIDAE,Dasytes,3487,44.057777,7.457222,sequences,7094,6867,6980.5,227,7000,14
Dryophilus|pusillus|(Gyll.),COUN000747|3485,species,species,ANOBIIDAE,Dryophilus,3485,44.057777,7.457222,sequences,6772,6513,6642.5,259,7000,14
Dryophilus|pusillus|(Gyll.),COUN000747|3486,species,species,ANOBIIDAE,Dryophilus,3486,44.057777,7.457222,sequences,6931,6692,6811.5,239,7000,14
Dryophilus|pusillus|(Gyll.),COUN000747|3487,species,species,ANOBIIDAE,Dryophilus,3487,44.057777,7.457222,sequences,7094,6867,6980.5,227,7000,14
Euheptaulacus|carinatus|(Germ.),COUN001138|5313,species,species,SCARABAEIDAE,Euheptaulacus,5313,44.78361,6.288611,sequences,6947,6440,6693.5,507,7000,14
Gastrophysa|viridula|(Deg.),COUN000747|3487,species,species,CHRYSOMELIDAE,Gastrophysa,3487,44.057777,7.457222,sequences,7094,6867,6980.5,227,7000,14
Grynobius|planus|(F.),COUN000747|3486,species,species,ANOBIIDAE,Grynobius,3486,44.057777,7.457222,sequences,6931,6692,6811.5,239,7000,14
Helophorus|glacialis|Villa,COUN000747|3485,species,species,HYDROPHILIDAE,Helophorus,3485,44.057777,7.457222,sequences,6772,6513,6642.5,259,7000,14
Helophorus|glacialis|Villa,COUN000747|3486,species,species,HYDROPHILIDAE,Helophorus,3486,44.057777,7.457222,sequences,6931,6692,6811.5,239,7000,14
Helophorus|glacialis|Villa,COUN000747|3487,species,species,HYDROPHILIDAE,Helophorus,3487,44.057777,7.457222,sequences,7094,6867,6980.5,227,7000,14
Hydrobius|fuscipes|agg.,COUN001138|5313,species,species,HYDROPHILIDAE,Hydrobius,5313,44.78361,6.288611,sequences,6947,6440,6693.5,507,7000,14
Hydrobius|fuscipes|agg.,COUN001573|7597,species,species,HYDROPHILIDAE,Hydrobius,7597,41.370834,9.263333,sequences,6993,6200,6596.5,793,7000,14
Hydroporus|memnonius|Nic.,COUN000747|3485,species,species,DYTISCIDAE,Hydroporus,3485,44.057777,7.457222,sequences,6772,6513,6642.5,259,7000,14
Hylobius|transversovittatus|(Goeze),COUN001573|7597,species,species,CURCULIONIDAE,Hylobius,7597,41.370834,9.263333,sequences,6993,6200,6596.5,793,7000,14
Idolus|picipennis|(Bach),COUN000747|3486,species,species,ELATERIDAE,Idolus,3486,44.057777,7.457222,sequences,6931,6692,6811.5,239,7000,14
Laricobius|erichsonii|Rosen.,COUN000747|3486,species,species,DERODONTIDAE,Laricobius,3486,44.057777,7.457222,sequences,6931,6692,6811.5,239,7000,14
Lesteva|longoelytrata|(Goeze),COUN001138|5313,species,species,STAPHYLINIDAE,Lesteva,5313,44.78361,6.288611,sequences,6947,6440,6693.5,507,7000,14
Limnebius|truncatellus|(Thun.),COUN000747|3486,species,species,HYDRAENIDAE,Limnebius,3486,44.057777,7.457222,sequences,6931,6692,6811.5,239,7000,14
Limnebius|truncatellus|(Thun.),COUN000747|3487,species,species,HYDRAENIDAE,Limnebius,3487,44.057777,7.457222,sequences,7094,6867,6980.5,227,7000,14
Limnebius|truncatellus|(Thun.),COUN001138|5313,species,species,HYDRAENIDAE,Limnebius,5313,44.78361,6.288611,sequences,6947,6440,6693.5,507,7000,14
Limnoxenus|niger|(Zsch.),COUN001573|7597,species,species,HYDROPHILIDAE,Limnoxenus,7597,41.370834,9.263333,sequences,6993,6200,6596.5,793,7000,14
Mesites|pallidipennis|Bohe.,COUN001573|7597,species,species,CURCULIONIDAE,Mesites,7597,41.370834,9.263333,sequences,6993,6200,6596.5,793,7000,14
Microhoria|fasciata|(Chev.),COUN000747|3487,species,species,ANTHICIDAE,Microhoria,3487,44.057777,7.457222,sequences,7094,6867,6980.5,227,7000,14
Neocrepidodera|corpulenta|(Kuts.),COUN000747|3485,species,species,CHRYSOMELIDAE,Neocrepidodera,3485,44.057777,7.457222,sequences,6772,6513,6642.5,259,7000,14
Ochthebius|granulatus|Muls.,COUN000747|3486,species,species,HYDRAENIDAE,Ochthebius,3486,44.057777,7.457222,sequences,6931,6692,6811.5,239,7000,14
Olophrum|consimile|(Gyll.),COUN000747|3486,species,species,STAPHYLINIDAE,Olophrum,3486,44.057777,7.457222,sequences,6931,6692,6811.5,239,7000,14
Olophrum|consimile|(Gyll.),COUN000747|3487,species,species,STAPHYLINIDAE,Olophrum,3487,44.057777,7.457222,sequences,7094,6867,6980.5,227,7000,14
Omalium|excavatum|Steph.,COUN000747|3485,species,species,STAPHYLINIDAE,Omalium,3485,44.05778,7.457222,sequences,6772,6513,6642.5,259,7000,14
Omalium|excavatum|Steph.,COUN000747|3486,species,species,STAPHYLINIDAE,Omalium,3486,44.05778,7.457222,sequences,6931,6692,6811.5,239,7000,14
Onthophagus|taurus|(Schreb.),COUN001573|7597,species,species,SCARABAEIDAE,Onthophagus,7597,41.37083,9.263333,sequences,6993,6200,6596.5,793,7000,14
Onthophagus|vacca|(L.),COUN001573|7597,species,species,SCARABAEIDAE,Onthophagus,7597,41.37083,9.263333,sequences,6993,6200,6596.5,793,7000,14
Otiorhynchus|varius|Bohe.,COUN001138|5313,species,species,CURCULIONIDAE,Otiorhynchus,5313,44.78361,6.288611,sequences,6947,6440,6693.5,507,7000,14
Palaeostigus|ruficornis|(Mots.),COUN000747|3485,species,species,SCYDMAENIDAE,Palaeostigus,3485,44.05778,7.457222,sequences,6772,6513,6642.5,259,7000,14
Palaeostigus|ruficornis|(Mots.),COUN000747|3486,species,species,SCYDMAENIDAE,Palaeostigus,3486,44.05778,7.457222,sequences,6931,6692,6811.5,239,7000,14
Paratachys|bistriatus|(Duft.),COUN001573|7597,species,species,CARABIDAE,Paratachys,7597,41.37083,9.263333,sequences,6993,6200,6596.5,793,7000,14
Pityokteines|curvidens|(Germ.),COUN000747|3485,species,species,SCOLYTIDAE,Pityokteines,3485,44.05778,7.457222,sequences,6772,6513,6642.5,259,7000,14
Plegaderus|saucius|Er.,COUN000747|3486,species,species,HISTERIDAE,Plegaderus,3486,44.05778,7.457222,sequences,6931,6692,6811.5,239,7000,14
Polydrusus|pallidus|Gyll.,COUN000747|3486,species,species,CURCULIONIDAE,Polydrusus,3486,44.05778,7.457222,sequences,6931,6692,6811.5,239,7000,14
Pterostichus|cursor|Dej.,COUN001573|7597,species,species,CARABIDAE,Pterostichus,7597,41.37083,9.263333,sequences,6993,6200,6596.5,793,7000,14
Quedius|punctatellus|(Heer),COUN001138|5313,species,species,STAPHYLINIDAE,Quedius,5313,44.78361,6.288611,sequences,6947,6440,6693.5,507,7000,14
Scobicia|chevrieri|(Villa & Villa),COUN001573|7597,species,species,BOSTRYCHIDAE,Scobicia,7597,41.37083,9.263333,sequences,6993,6200,6596.5,793,7000,14
Scobicia|pustulata|(F.),COUN001573|7597,species,species,BOSTRYCHIDAE,Scobicia,7597,41.37083,9.263333,sequences,6993,6200,6596.5,793,7000,14
Stictotarsus|griseostriatus|(Deg.),COUN000747|3485,species,species,DYTISCIDAE,Stictotarsus,3485,44.05778,7.457222,sequences,6772,6513,6642.5,259,7000,14
Stictotarsus|griseostriatus|(Deg.),COUN000747|3486,species,species,DYTISCIDAE,Stictotarsus,3486,44.05778,7.457222,sequences,6931,6692,6811.5,239,7000,14
Tetartopaeus|terminatus|(Grav.),COUN001138|5313,species,species,STAPHYLINIDAE,Tetartopaeus,5313,44.78361,6.288611,sequences,6947,6440,6693.5,507,7000,14
Acidota|crenata|(F.),COUN000508|2493,species,species,STAPHYLINIDAE,Acidota,2493,45.043335,5.929167,sequences,7830,6933,7381.5,897,7500,15
Acidota|crenata|(F.),COUN001138|5310,species,species,STAPHYLINIDAE,Acidota,5310,44.78361,6.288611,sequences,7622,7207,7414.5,415,7500,15
Acidota|cruentata|Mann.,COUN001138|5310,species,species,STAPHYLINIDAE,Acidota,5310,44.78361,6.288611,sequences,7622,7207,7414.5,415,7500,15
Acidota|cruentata|Mann.,COUN001138|5311,species,species,STAPHYLINIDAE,Acidota,5311,44.78361,6.288611,sequences,7489,7061,7275,428,7500,15
Acidota|cruentata|Mann.,COUN001138|5312,species,species,STAPHYLINIDAE,Acidota,5312,44.78361,6.288611,sequences,7287,6828,7057.5,459,7500,15
Agabus|bipustulatus|(L.),COUN000747|3488,species,species,DYTISCIDAE,Agabus,3488,44.057777,7.457222,sequences,7260,7038,7149,222,7500,15
Agabus|bipustulatus|(L.),COUN000747|3489,species,species,DYTISCIDAE,Agabus,3489,44.057777,7.457222,sequences,7426,7205,7315.5,221,7500,15
Agabus|bipustulatus|(L.),COUN001138|5310,species,species,DYTISCIDAE,Agabus,5310,44.78361,6.288611,sequences,7622,7207,7414.5,415,7500,15
Agabus|bipustulatus|(L.),COUN001138|5312,species,species,DYTISCIDAE,Agabus,5312,44.78361,6.288611,sequences,7287,6828,7057.5,459,7500,15
Amphichroum|hirtellum|(Heer),COUN001138|5310,species,species,STAPHYLINIDAE,Amphichroum,5310,44.78361,6.288611,sequences,7622,7207,7414.5,415,7500,15
Amphichroum|hirtellum|(Heer),COUN001138|5312,species,species,STAPHYLINIDAE,Amphichroum,5312,44.78361,6.288611,sequences,7287,6828,7057.5,459,7500,15
Anthonomus|phyllocola|(Hbst.),COUN000508|2493,species,species,CURCULIONIDAE,Anthonomus,2493,45.043335,5.929167,sequences,7830,6933,7381.5,897,7500,15
Anthophagus|alpestris|Heer,COUN001138|5312,species,species,STAPHYLINIDAE,Anthophagus,5312,44.78361,6.288611,sequences,7287,6828,7057.5,459,7500,15
Anthophagus|bicornis|(Block),COUN000508|2493,species,species,STAPHYLINIDAE,Anthophagus,2493,45.043335,5.929167,sequences,7830,6933,7381.5,897,7500,15
Anthophagus|bicornis|(Block),COUN001138|5310,species,species,STAPHYLINIDAE,Anthophagus,5310,44.78361,6.288611,sequences,7622,7207,7414.5,415,7500,15
Anthophagus|bicornis|(Block),COUN001138|5311,species,species,STAPHYLINIDAE,Anthophagus,5311,44.78361,6.288611,sequences,7489,7061,7275,428,7500,15
Aphodius|abdominalis|Bonelli,COUN000508|2493,species,species,SCARABAEIDAE,Aphodius,2493,45.043335,5.929167,sequences,7830,6933,7381.5,897,7500,15
Aphodius|abdominalis|Bonelli,COUN000747|3490,species,species,SCARABAEIDAE,Aphodius,3490,44.057777,7.457222,sequences,7594,7364,7479,230,7500,15
Aphodius|abdominalis|Bonelli,COUN001138|5310,species,species,SCARABAEIDAE,Aphodius,5310,44.78361,6.288611,sequences,7622,7207,7414.5,415,7500,15
Aphodius|abdominalis|Bonelli,COUN001138|5311,species,species,SCARABAEIDAE,Aphodius,5311,44.78361,6.288611,sequences,7489,7061,7275,428,7500,15
Aphodius|abdominalis|Bonelli,COUN001138|5312,species,species,SCARABAEIDAE,Aphodius,5312,44.78361,6.288611,sequences,7287,6828,7057.5,459,7500,15
Aphodius|obscurus|(F.),COUN000508|2493,species,species,SCARABAEIDAE,Aphodius,2493,45.043335,5.929167,sequences,7830,6933,7381.5,897,7500,15
Cantharis|tristis|F.,COUN001138|5311,species,species,CANTHARIDAE,Cantharis,5311,44.78361,6.288611,sequences,7489,7061,7275,428,7500,15
Cantharis|tristis|F.,COUN001138|5312,species,species,CANTHARIDAE,Cantharis,5312,44.78361,6.288611,sequences,7287,6828,7057.5,459,7500,15
Ceruchus|chrysomelinus|(Hoch.),COUN000508|2493,species,species,LUCANIDAE,Ceruchus,2493,45.043335,5.929167,sequences,7830,6933,7381.5,897,7500,15
Coccinella|venusta|Weise,COUN001138|5311,species,species,COCCINELLIDAE,Coccinella,5311,44.78361,6.288611,sequences,7489,7061,7275,428,7500,15
Curculio|pyrrhoceras|Marsham,COUN000508|2493,species,species,CURCULIONIDAE,Curculio,2493,45.043335,5.929167,sequences,7830,6933,7381.5,897,7500,15
Dalopius|marginatus|(L.),COUN000508|2493,species,species,ELATERIDAE,Dalopius,2493,45.043335,5.929167,sequences,7830,6933,7381.5,897,7500,15
Dascillus|cervinus|(L.),COUN001138|5312,species,species,DASCILLIDAE,Dascillus,5312,44.78361,6.288611,sequences,7287,6828,7057.5,459,7500,15
Donacia|obscura|Gyll.,COUN000508|2493,species,species,CHRYSOMELIDAE,Donacia,2493,45.043335,5.929167,sequences,7830,6933,7381.5,897,7500,15
Dryophilus|pusillus|(Gyll.),COUN000747|3488,species,species,ANOBIIDAE,Dryophilus,3488,44.057777,7.457222,sequences,7260,7038,7149,222,7500,15
Dryophilus|pusillus|(Gyll.),COUN000747|3489,species,species,ANOBIIDAE,Dryophilus,3489,44.057777,7.457222,sequences,7426,7205,7315.5,221,7500,15
Dryophilus|pusillus|(Gyll.),COUN000747|3490,species,species,ANOBIIDAE,Dryophilus,3490,44.057777,7.457222,sequences,7594,7364,7479,230,7500,15
Enochrus|fuscipennis|(Thoms.),COUN000508|2493,species,species,HYDROPHILIDAE,Enochrus,2493,45.043335,5.929167,sequences,7830,6933,7381.5,897,7500,15
Eusphalerum|abdominale|Grav.,COUN000747|3490,species,species,STAPHYLINIDAE,Eusphalerum,3490,44.057777,7.457222,sequences,7594,7364,7479,230,7500,15
Gastrophysa|viridula|(Deg.),COUN000747|3489,species,species,CHRYSOMELIDAE,Gastrophysa,3489,44.057777,7.457222,sequences,7426,7205,7315.5,221,7500,15
Gastrophysa|viridula|(Deg.),COUN000747|3490,species,species,CHRYSOMELIDAE,Gastrophysa,3490,44.057777,7.457222,sequences,7594,7364,7479,230,7500,15
Helophorus|flavipes|F.,COUN000508|2493,species,species,HYDROPHILIDAE,Helophorus,2493,45.043335,5.929167,sequences,7830,6933,7381.5,897,7500,15
Helophorus|glacialis|Villa,COUN000747|3489,species,species,HYDROPHILIDAE,Helophorus,3489,44.057777,7.457222,sequences,7426,7205,7315.5,221,7500,15
Helophorus|glacialis|Villa,COUN001138|5311,species,species,HYDROPHILIDAE,Helophorus,5311,44.78361,6.288611,sequences,7489,7061,7275,428,7500,15
Hoplia|argentea|(Poda),COUN001138|5310,species,species,SCARABAEIDAE,Hoplia,5310,44.78361,6.288611,sequences,7622,7207,7414.5,415,7500,15
Ips|cembrae|(Heer),COUN000508|2493,species,species,SCOLYTIDAE,Ips,2493,45.043335,5.929167,sequences,7830,6933,7381.5,897,7500,15
Licinus|depressus|(Payk.),COUN001138|5310,species,species,CARABIDAE,Licinus,5310,44.78361,6.288611,sequences,7622,7207,7414.5,415,7500,15
Limnebius|truncatellus|(Thun.),COUN000747|3490,species,species,HYDRAENIDAE,Limnebius,3490,44.057777,7.457222,sequences,7594,7364,7479,230,7500,15
Limnebius|truncatellus|(Thun.),COUN001138|5310,species,species,HYDRAENIDAE,Limnebius,5310,44.78361,6.288611,sequences,7622,7207,7414.5,415,7500,15
Limnebius|truncatellus|(Thun.),COUN001138|5311,species,species,HYDRAENIDAE,Limnebius,5311,44.78361,6.288611,sequences,7489,7061,7275,428,7500,15
Limnebius|truncatellus|(Thun.),COUN001138|5312,species,species,HYDRAENIDAE,Limnebius,5312,44.78361,6.288611,sequences,7287,6828,7057.5,459,7500,15
Micropeplus|tesserula|Curtis,COUN000747|3488,species,species,STAPHYLINIDAE,Micropeplus,3488,44.057777,7.457222,sequences,7260,7038,7149,222,7500,15
Mycetochara|thoracica|Gredler,COUN000508|2493,species,species,ALLECULIDAE,Mycetochara,2493,45.043335,5.929167,sequences,7830,6933,7381.5,897,7500,15
Ochthebius|granulatus|Muls.,COUN000747|3489,species,species,HYDRAENIDAE,Ochthebius,3489,44.057777,7.457222,sequences,7426,7205,7315.5,221,7500,15
Onthophagus|fracticornis|(Preys.),COUN000508|2493,species,species,SCARABAEIDAE,Onthophagus,2493,45.04333,5.929167,sequences,7830,6933,7381.5,897,7500,15
Oreina|speciosa|L.,COUN000508|2493,species,species,CHRYSOMELIDAE,Oreina,2493,45.04333,5.929167,sequences,7830,6933,7381.5,897,7500,15
Otiorhynchus|hypocrita|Rosen.,COUN000508|2493,species,species,CURCULIONIDAE,Otiorhynchus,2493,45.04333,5.929167,sequences,7830,6933,7381.5,897,7500,15
Otiorhynchus|pauxillus|Rosen.,COUN000508|2493,species,species,CURCULIONIDAE,Otiorhynchus,2493,45.04333,5.929167,sequences,7830,6933,7381.5,897,7500,15
Otiorhynchus|varius|Bohe.,COUN000508|2493,species,species,CURCULIONIDAE,Otiorhynchus,2493,45.04333,5.929167,sequences,7830,6933,7381.5,897,7500,15
Palaeostigus|ruficornis|(Mots.),COUN000747|3488,species,species,SCYDMAENIDAE,Palaeostigus,3488,44.05778,7.457222,sequences,7260,7038,7149,222,7500,15
Palaeostigus|ruficornis|(Mots.),COUN000747|3490,species,species,SCYDMAENIDAE,Palaeostigus,3490,44.05778,7.457222,sequences,7594,7364,7479,230,7500,15
Pissodes|pini|(L.),COUN000508|2493,species,species,CURCULIONIDAE,Pissodes,2493,45.04333,5.929167,sequences,7830,6933,7381.5,897,7500,15
Pityogenes|bistridentatus|(Eich.),COUN000508|2493,species,species,SCOLYTIDAE,Pityogenes,2493,45.04333,5.929167,sequences,7830,6933,7381.5,897,7500,15
